log2(PTR):genome_id/sample_id,30016-MG-S1_1,30028-MG-S2_1,30092-MG-S3_1,30094-MG-S4_1,30098-MG-S5_1,30103-MG-S6_1,30108-MG-S7_1,30109-MG-S8_1,30139-MG-S9_1,30145-MG-S10_1,30147-MG-S11_1,30160-MG-S12_1,30161-MG-S13_1,30165-MG-S14_1,30177-MG-S15_1,30186-MG-S16_1,30201-MG-S17_1,30202-MG-S18_1,30207_S5_merged_unique,30208_S6_merged_unique,30212-MG-S19_1,30222-MG-S20_1,30233-MG-S21_1,30245-MG-S22_1,30279-MG-S23_1,30292-MG-S24_1,30294-MG-S25_1,30371-MG-S26_1,30378-MG-S27_1,30413-MG-S28_1,30438-MG-S29_1,30444-MG-S30_1,30468-MG-S31_1,30483-MG-S32_1,30522-MG-S33_1,30526-MG-S34_1,30534-MG-S35_1,30535-MG-S36_1,30537-MG-S37_1,30543-MG-S38_1,30554-MG-S39_1,30557-MG-S40_1,30562-MG-S41_1,30566-MG-S42_1,30577-MG-S43_1,30581-MG-S44_1,30582-MG-S45_1,30592-MG-S46_1,30593-MG-S47_1,30623_S8_merged_unique,30627-MG-S48_1,30628-MG-S49_1,30629-MG-S50_1,30641-MG-S51_1,30652-MG-S52_1,30714-MG-S53_1,30754-MG-S54_1,30809-MG-S58_1,30821-MG-S59_1,30837-MG-S60_1,30863-MG-S61_1,30935-MG-S63_1,30966-MG-S65_1,30974-MG-S66_1,31005-MG-S67_1,31013-MG-S68_1,31015-MG-S69_1,31016-MG-S70_1,31022-MG-S71_1,31033-MG-S73_1,31042-MG-S74_1,31048_S11_merged_unique,31051-MG-S75_1,31056-MG-S76_1,31063-MG-S77_1,31078-MG-S78_1,31080-MG-S79_1,31101-MG-S80_1,31109-MG-S81_1,31134_S16_merged_unique,31155-MG-S82_1,31156-MG-S83_1,31171_S18_merged_unique,31185-MG-S84_1,31238-MG-S85_1,31246_S19_merged_unique,31247-MG-S86_1,31258-MG-S87_1,31359_S13_L001_R1_filtered_unique,31368_S25_L001_R1_filtered_unique,31400-MG-S89_1,31426_S49_L001_R1_filtered_unique,31427_S25_merged_unique,31435-MG-S90_1,31482_S26_L001_R1_filtered_unique,31489_S38_L001_R1_filtered_unique,31492_S62_L001_R1_filtered_unique,31499_S86_L001_R1_filtered_unique,31511_S27_L001_R1_filtered_unique,31521_S51_L001_R1_filtered_unique,31524_S63_L001_R1_filtered_unique,31531_S75_L001_R1_filtered_unique,31534_S87_L001_R1_filtered_unique,31537_S16_L001_R1_filtered_unique,31541_S40_L001_R1_filtered_unique,31545_S76_L001_R1_filtered_unique,31550_S88_L001_R1_filtered_unique,31556_S17_L001_R1_filtered_unique,31564_S41_L001_R1_filtered_unique,31566_S53_L001_R1_filtered_unique,31572_S77_L001_R1_filtered_unique,31573_S89_L001_R1_filtered_unique,31574_S6_L001_R1_filtered_unique,31582_S30_L001_R1_filtered_unique,31597_S66_L001_R1_filtered_unique,31598_S78_L001_R1_filtered_unique,31605_S7_L001_R1_filtered_unique,31607_S19_L001_R1_filtered_unique,31619_S43_L001_R1_filtered_unique,31620_S55_L001_R1_filtered_unique,31631_S79_L001_R1_filtered_unique,31634_S91_L001_R1_filtered_unique,31643_S32_L001_R1_filtered_unique,31679_S29_merged_unique,31705_S31_merged_unique,31725_S31_L001_R1_filtered_unique,31760_S34_merged_unique,31764_S35_merged_unique,31768_S37_merged_unique,31791_S38_merged_unique,31817_S41_merged_unique,31849_S80_L001_R1_filtered_unique,31876_S43_merged_unique,31922_S44_merged_unique,31951_S45_merged_unique
1006551.4.patric,,0.5567780008633314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.850328460246998,,,,,,,,,,,,,,,0.7089225932201166,,,,,,,,,,,,,,,,,,,,0.594491084926576,0.5630426661968697,,,,0.5006608600312196,,,,,,,,,,,,0.5385463666264326,,,,,,,,,,,0.3942307014944015,,,,,,,,,
102684.9.patric,,0.6176565248800232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6058582574218871,,,,,,,,,,,,,,,,,,,,,0.6116331031794708,0.5300742339590608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051074.3.patric,0.651905403519502,,0.8400416679717124,,,,1.9379566104559335e-06,,,,0.5595981111615029,,0.3239545801279216,,,,0.6537016542541823,,,,0.40107621962372064,0.6778041080406582,0.6101430494597632,,0.5705132517635639,0.9077308569454492,,,,,0.27528437066323047,0.2616183465461809,,,,,0.5645187535712651,,,,,0.4770416663570869,,,0.32802170328406594,0.4495123093201063,,0.37554296009938515,0.16113999869592655,,,,,,,,0.32832221266150324,,0.3793081258058552,,,0.6811073083843663,,0.2301018294069701,,0.28823432515614994,,,0.4873910937178711,0.340130170571251,,,,,0.42916545129360995,0.3716154748082133,,,0.30238238271547674,,,0.49885576895237516,,0.2511749935374913,,,,0.4558970762863114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150461.5.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7393261276221542,,,,,,,,,,,,,,,,,,,,,
1156433.3.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611379720389432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297617.4.patric,,,,,,,,,,,,,,,,,,,,,0.1785938496876518,,,,,,0.1323396716294876,,,,,,,,,,,,,,,0.15278266037380261,,,,,0.16957685163652142,,,,,,,,,0.1480369188210185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24662334995182247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302.125.patric,,,,,,,0.6036498032352976,,,,,,,,,,,,,,,,,,,,,,,0.8961949635109803,,,,,,,,,,,,,0.5924342624612708,,,,,,,,,,,,,,0.6580807748695527,,,,,,,,,,,,,,,,,,,,1.0397582873358127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304.245.patric,,,,,,0.5093544619378801,1.3101688912243548,0.9982370460951565,,,1.0275101453323463,,,,,,0.7398766755334557,,,,1.0882149689308145,,,,1.087605033973313,0.8876015621562166,,,,1.0279328904118568,0.8782303410144239,0.955276421395828,,,,,,,,,,0.9821227077800667,,,0.8041464040296054,,,,0.9975773370836797,,,0.8553237324607846,0.897401250079367,,,0.9478885854420491,1.1366201341761801,0.8759751451330119,0.9776261256264851,,1.054672199203452,,,,1.0976027107831487,,1.1372927163914768,,,0.8605677418885503,,,,0.863105529707123,1.0202227116544982,,1.0651399329359703,,0.9662732344128919,,0.932736168623377,,,,,1.1060273659367041,,1.036742498971872,,,0.996515127063584,,,1.00578639787479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309.102.patric,,,,,,,0.5418644981083444,,,,,,,,,,,,,,,,,,,,,,,,0.6528009333662314,,,,,,,,,,,,,,,,,,,,,,0.6822402736348542,,,0.4867563254370354,,,,,,,,,,,,,,0.413594594071582,,,,,,,,,0.4392305543624559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335613.4.patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8010620986567055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
