genome_id,genome_name,repository,species_id,sra_accession,quality_level,completeness,contamination,count_contigs,genome_length,avg_contig_length,contig_N50,average_depth,percent_contigs_5x_depth,count_trnas,rrna_5s_present,rrna_16s_present,rrna_23s_present,species_alt_id,species_name,representative_genome,gtdb_taxonomy,operational_taxonomy,count_hgm,count_ref,gut_species,new_species,cultured_species,high_quality
1718.75.patric,Corynebacterium glutamicum strain AS 1.299,PATRIC,OTU-02528,,high,99.52,0.0,38,3109311,81824.0,224275,,,20,Yes,Yes,Yes,254763,Corynebacterium sp.,1718.75,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum,d__Bacteria;p__23;c__114;o__656;f__1267;g__5137;s__02528,0,42,Yes,No,Yes,Yes
1167628.4.patric,Actinomyces massiliensis 4401292,PATRIC,OTU-01653,,high,99.96,2.19,35,3348548,95672.8,205303,,,20,No,No,No,236796,Actinomyces massiliensis,1167628.4,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis,d__Bacteria;p__23;c__114;o__654;f__1270;g__5254;s__01653,0,2,Yes,No,Yes,Yes
1347393.3.patric,Bacteroidaceae bacterium MS4,PATRIC,OTU-04703,,high,98.14,1.02,35,5024689,143563.0,271585,,,20,Yes,Yes,Yes,277492,Bacteroides sp.,1347393.3,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides neonati,d__Bacteria;p__21;c__101;o__592;f__1142;g__4347;s__04703,0,1,Yes,No,Yes,Yes
1423749.3.patric,Lactobacillus gastricus DSM 16045,PATRIC,OTU-10223,,high,99.18,0.27,66,1848461,28007.0,82805,,,20,Yes,Yes,Yes,261527,Lactobacillus gastricus,1423749.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H gastricus,d__Bacteria;p__01;c__014;o__053;f__0107;g__0478;s__10223,0,3,Yes,No,Yes,Yes
500633.7.patric,Clostridium hiranonis DSM 13275,PATRIC,OTU-13549,,high,100.0,0.0,26,2479772,95375.9,575376,,,14,No,Yes,Yes,270336,Clostridium hiranonis,500633.7,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridium_U;s__Clostridium_U hiranonis,d__Bacteria;p__18;c__124;o__767;f__1539;g__6781;s__13549,0,1,Yes,No,Yes,Yes
1118057.3.patric,Peptoniphilus sp. ph5,PATRIC,OTU-13769,,high,99.18,0.0,77,2029837,26361.5,50951,,,14,Yes,Yes,Yes,261444,Peptoniphilus sp.,1118057.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A grossensis,d__Bacteria;p__18;c__124;o__765;f__1533;g__6733;s__13769,1,2,Yes,No,Yes,Yes
1262881.3.patric,Eubacterium sp. CAG:161,PATRIC,OTU-12296,,high,98.66,1.34,48,2515227,52400.6,108874,,,14,No,No,No,243398,Eubacterium sp.,1262881.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__,d__Bacteria;p__18;c__124;o__762;f__1517;g__6487;s__12296,4,1,Yes,No,No,Yes
1439328.3.patric,Enterobacter cloacae BWH 43,PATRIC,OTU-20404,,high,99.96,1.58,20,5045694,252285.0,291825,,,20,Yes,Yes,Yes,261063,Enterobacter cloacae,1439328.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20404,1,17,Yes,No,Yes,Yes
457396.3.patric,Clostridium sp. 7_2_43FAA,PATRIC,OTU-11655,,high,98.99,0.0,29,3835902,132272.0,3237979,,,19,Yes,Yes,Yes,236488,Clostridium tertium,457396.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__,d__Bacteria;p__18;c__124;o__736;f__1442;g__5955;s__11655,4,3,Yes,No,Yes,Yes
657314.3.patric,Ruminococcus obeum A2-162,PATRIC,OTU-12003,,high,99.37,0.63,1,3757491,3757490.0,3757491,,,17,No,Yes,Yes,250446,Ruminococcus obeum,657314.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A,d__Bacteria;p__18;c__124;o__762;f__1517;g__6656;s__12003,1,1,Yes,No,Yes,Yes
866771.4.patric,Prevotella disiens FB035-09AN,PATRIC,OTU-05031,,high,99.32,0.0,73,3002270,41127.0,128027,,,19,Yes,Yes,Yes,241494,Prevotella disiens,866771.4,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella disiens,d__Bacteria;p__21;c__101;o__592;f__1144;g__4376;s__05031,1,4,Yes,No,Yes,Yes
1458253.7.patric,Streptococcus oralis subsp. dentisani strain RH_13585_10,PATRIC,OTU-10505,,high,99.87,0.2,41,1887959,46047.8,429199,,,20,Yes,Yes,Yes,264724,Streptococcus oralis,1458253.7,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10505,0,1,Yes,No,Yes,Yes
253.39.patric,Chryseobacterium indologenes strain FDAARGOS_379 strain Not applicable,PATRIC,OTU-07094,,high,100.0,0.49,1,4888827,4888830.0,4888827,,,20,Yes,Yes,Yes,263274,Chryseobacterium sp.,253.39,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium indologenes,d__Bacteria;p__21;c__101;o__587;f__1128;g__4231;s__07094,0,14,Yes,No,Yes,Yes
1410646.5.patric,Bifidobacterium merycicum DSM 6492,PATRIC,OTU-01790,,high,99.77,1.09,15,2274683,151646.0,601313,,,20,Yes,Yes,Yes,270193,Bifidobacterium sp.,1410646.5,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium merycicum,d__Bacteria;p__23;c__114;o__653;f__1260;g__5068;s__01790,0,4,Yes,No,Yes,Yes
511437.3.patric,Lactobacillus buchneri NRRL B-30929,PATRIC,OTU-10179,,high,99.06,0.0,4,2588309,647077.0,2506301,,,20,Yes,Yes,Yes,258397,Lactobacillus buchneri,511437.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G buchneri,d__Bacteria;p__01;c__014;o__053;f__0107;g__0484;s__10179,1,7,Yes,No,Yes,Yes
649754.10.patric,Corynebacterium ammoniagenes DSM 20306,PATRIC,OTU-02496,,high,99.34,0.0,1,2790185,2790180.0,2790185,,,20,Yes,Yes,Yes,277686,Corynebacterium sp.,649754.10,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium ammoniagenes,d__Bacteria;p__23;c__114;o__656;f__1267;g__5143;s__02496,0,3,Yes,No,Yes,Yes
1262879.3.patric,Eubacterium sp. CAG:146,PATRIC,OTU-12281,,high,97.57,2.01,173,2653983,15340.9,34633,,,10,No,No,No,256509,Eubacterium sp.,1262879.3,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__,d__Bacteria;p__18;c__124;o__762;f__1518;g__6523;s__12281,37,6,Yes,No,Yes,Yes
1188236.3.patric,Mycoplasma arginini 7264,PATRIC,OTU-10679,,high,100.0,0.0,18,615620,34201.1,106085,,,20,Yes,Yes,Yes,278616,Mycoplasma arginini,1188236.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae_B;g__Mycoplasma_D;s__Mycoplasma_D arginini,d__Bacteria;p__01;c__011;o__035;f__0057;g__0179;s__10679,0,2,Yes,No,Yes,Yes
634.4.patric,Yersinia bercovieri strain 127/84,PATRIC,OTU-20723,,high,100.0,0.34,32,4460673,139396.0,273039,,,20,Yes,Yes,Yes,279280,Yersinia bercovieri,634.4,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia bercovieri,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20723,0,6,Yes,No,Yes,Yes
1156433.3.patric,Streptococcus sp. I-P16,PATRIC,OTU-10484,,high,99.83,0.0,1,2023580,2023580.0,2023580,,,20,No,No,No,260355,Streptococcus sp.,1156433.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,d__Bacteria;p__01;c__014;o__053;f__0110;g__0496;s__10484,1,2,Yes,No,Yes,Yes
195.631.patric,Campylobacter coli strain n/a,PATRIC,OTU-08914,,high,99.25,0.23,84,1911695,22758.3,107701,,,20,No,Yes,Yes,233287,Campylobacter coli,195.631,d__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,d__Bacteria;p__10;c__055;o__264;f__0507;g__1494;s__08914,0,49,Yes,No,Yes,Yes
28116.19.patric,Bacteroides ovatus strain An161,PATRIC,OTU-04709,,high,99.46,0.0,90,6684163,74268.5,167822,,,20,Yes,Yes,Yes,261737,Bacteroides ovatus,28116.19,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,d__Bacteria;p__21;c__101;o__592;f__1142;g__4347;s__04709,302,23,Yes,No,Yes,Yes
1348633.3.patric,Lactococcus raffinolactis NBRC 100932,PATRIC,OTU-10360,,high,98.11,0.5,114,2179192,19115.7,42546,,,17,No,Yes,Yes,225874,Lactococcus raffinolactis,1348633.3,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus raffinolactis_A,d__Bacteria;p__01;c__014;o__053;f__0110;g__0493;s__10360,1,4,Yes,No,Yes,Yes
706191.3.patric,Pantoea ananatis LMG 20103,PATRIC,OTU-20570,,high,100.0,0.08,1,4690298,4690300.0,4690298,,,20,Yes,Yes,Yes,258585,Pantoea ananatis,706191.3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea ananatis,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20570,1,37,Yes,No,Yes,Yes
28152.8.patric,Yersinia kristensenii strain Y231,PATRIC,OTU-20729,,high,99.95,0.07,1,4496569,4496570.0,4496569,,,20,Yes,Yes,Yes,261704,Yersinia kristensenii,28152.8,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Yersinia;s__Yersinia frederiksenii_B,d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20729,0,8,Yes,No,Yes,Yes
60920.3.patric,Sanguibacter keddieii strain 250_SKED,PATRIC,OTU-01684,,high,100.0,0.47,61,2357612,38649.4,97835,,,20,Yes,Yes,Yes,243854,Sanguibacter keddieii,60920.3,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces_B;s__Actinomyces_B keddieii,d__Bacteria;p__23;c__114;o__654;f__1270;g__5245;s__01684,1,1,Yes,No,Yes,Yes
1120941.3.patric,Actinomyces dentalis DSM 19115,PATRIC,OTU-01646,,high,99.53,2.25,97,3529652,36388.2,61866,,,20,Yes,Yes,Yes,264215,Actinomyces dentalis,1120941.3,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis,d__Bacteria;p__23;c__114;o__654;f__1270;g__5254;s__01646,0,1,Yes,No,Yes,Yes
